ID,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,subscribe_binary
0,58,management,married,tertiary,no,2143,yes,no,5,may,4.35,1,-1,0,unknown,No
1,44,technician,single,secondary,no,29,yes,no,5,may,2.52,1,-1,0,unknown,No
2,33,entrepreneur,married,secondary,no,2,yes,yes,5,may,1.27,1,-1,0,unknown,No
5,35,management,married,tertiary,no,231,yes,no,5,may,2.32,1,-1,0,unknown,No
6,28,management,single,tertiary,no,447,yes,yes,5,may,3.62,1,-1,0,unknown,No
7,42,entrepreneur,divorced,tertiary,yes,2,yes,no,5,may,6.33,1,-1,0,unknown,No
8,58,retired,married,primary,no,121,yes,no,5,may,0.83,1,-1,0,unknown,No
9,43,technician,single,secondary,no,593,yes,no,5,may,0.92,1,-1,0,unknown,No
10,41,admin.,divorced,secondary,no,270,yes,no,5,may,3.7,1,-1,0,unknown,No
11,29,admin.,single,secondary,no,390,yes,no,5,may,2.28,1,-1,0,unknown,No
12,53,technician,married,secondary,no,6,yes,no,5,may,8.62,1,-1,0,unknown,No
14,57,services,married,secondary,no,162,yes,no,5,may,2.9,1,-1,0,unknown,No
15,51,retired,married,primary,no,229,yes,no,5,may,5.88,1,-1,0,unknown,No
17,57,blue-collar,married,primary,no,52,yes,no,5,may,0.63,1,-1,0,unknown,No
18,60,retired,married,primary,no,60,yes,no,5,may,3.65,1,-1,0,unknown,No
19,33,services,married,secondary,no,0,yes,no,5,may,0.9,1,-1,0,unknown,No
20,28,blue-collar,married,secondary,no,723,yes,yes,5,may,4.37,1,-1,0,unknown,No
21,56,management,married,tertiary,no,779,yes,no,5,may,2.73,1,-1,0,unknown,No
22,32,blue-collar,single,primary,no,23,yes,yes,5,may,2.67,1,-1,0,unknown,No
23,25,services,married,secondary,no,50,yes,no,5,may,5.7,1,-1,0,unknown,No
24,40,retired,married,primary,no,0,yes,yes,5,may,3.02,1,-1,0,unknown,No
25,44,admin.,married,secondary,no,-372,yes,no,5,may,2.87,1,-1,0,unknown,No
26,39,management,single,tertiary,no,255,yes,no,5,may,4.93,1,-1,0,unknown,No
27,52,entrepreneur,married,secondary,no,113,yes,yes,5,may,2.12,1,-1,0,unknown,No
28,46,management,single,secondary,no,-246,yes,no,5,may,4.25,2,-1,0,unknown,No
29,36,technician,single,secondary,no,265,yes,yes,5,may,5.8,1,-1,0,unknown,No
30,57,technician,married,secondary,no,839,no,yes,5,may,3.75,1,-1,0,unknown,No
31,49,management,married,tertiary,no,378,yes,no,5,may,3.83,1,-1,0,unknown,No
32,60,admin.,married,secondary,no,39,yes,yes,5,may,3.47,1,-1,0,unknown,No
33,59,blue-collar,married,secondary,no,0,yes,no,5,may,3.77,1,-1,0,unknown,No
35,57,technician,divorced,secondary,no,63,yes,no,5,may,4.03,1,-1,0,unknown,No
36,25,blue-collar,married,secondary,no,-7,yes,no,5,may,6.08,1,-1,0,unknown,No
37,53,technician,married,secondary,no,-3,no,no,5,may,27.77,1,-1,0,unknown,No
38,36,admin.,divorced,secondary,no,506,yes,no,5,may,9.62,1,-1,0,unknown,No
39,37,admin.,single,secondary,no,0,yes,no,5,may,2.28,1,-1,0,unknown,No
40,44,services,divorced,secondary,no,2586,yes,no,5,may,2.67,1,-1,0,unknown,No
41,50,management,married,secondary,no,49,yes,no,5,may,3,2,-1,0,unknown,No
43,54,retired,married,secondary,no,529,yes,no,5,may,24.87,1,-1,0,unknown,No
45,36,admin.,single,primary,no,-171,yes,no,5,may,4.03,1,-1,0,unknown,No
46,58,self-employed,married,tertiary,no,-364,yes,no,5,may,5.92,1,-1,0,unknown,No
47,44,technician,married,secondary,no,0,yes,no,5,may,3.75,2,-1,0,unknown,No
48,55,technician,divorced,secondary,no,0,no,no,5,may,2.67,1,-1,0,unknown,No
49,29,management,single,tertiary,no,0,yes,no,5,may,6.05,1,-1,0,unknown,No
50,54,blue-collar,married,secondary,no,1291,yes,no,5,may,4.43,1,-1,0,unknown,No
51,48,management,divorced,tertiary,no,-244,yes,no,5,may,4.22,1,-1,0,unknown,No
52,32,management,married,tertiary,no,0,yes,no,5,may,2.98,1,-1,0,unknown,No
53,42,admin.,single,secondary,no,-76,yes,no,5,may,13.12,1,-1,0,unknown,No
54,24,technician,single,secondary,no,-103,yes,yes,5,may,2.42,1,-1,0,unknown,No
55,38,entrepreneur,single,tertiary,no,243,no,yes,5,may,2.9,1,-1,0,unknown,No
56,38,management,single,tertiary,no,424,yes,no,5,may,1.73,1,-1,0,unknown,No
59,46,services,married,primary,no,179,yes,no,5,may,29.63,1,-1,0,unknown,No
60,32,admin.,married,tertiary,no,0,yes,no,5,may,2.3,1,-1,0,unknown,No
61,53,technician,divorced,secondary,no,989,yes,no,5,may,13.53,1,-1,0,unknown,No
62,57,blue-collar,married,primary,no,249,yes,no,5,may,2.73,1,-1,0,unknown,No
63,33,services,married,secondary,no,790,yes,no,5,may,6.52,1,-1,0,unknown,No
65,51,management,married,tertiary,no,6530,yes,no,5,may,1.52,1,-1,0,unknown,No
66,60,retired,married,tertiary,no,100,no,no,5,may,8.8,1,-1,0,unknown,No
67,59,management,divorced,tertiary,no,59,yes,no,5,may,4.55,1,-1,0,unknown,No
68,55,technician,married,secondary,no,1205,yes,no,5,may,2.63,2,-1,0,unknown,No
70,57,blue-collar,married,secondary,no,5935,yes,yes,5,may,4.3,1,-1,0,unknown,No
71,31,services,married,secondary,no,25,yes,yes,5,may,2.87,1,-1,0,unknown,No
72,54,management,married,secondary,no,282,yes,yes,5,may,2.57,1,-1,0,unknown,No
73,55,blue-collar,married,primary,no,23,yes,no,5,may,4.85,1,-1,0,unknown,No
74,43,technician,married,secondary,no,1937,yes,no,5,may,3.02,1,-1,0,unknown,No
75,53,technician,married,secondary,no,384,yes,no,5,may,2.93,1,-1,0,unknown,No
76,44,blue-collar,married,secondary,no,582,no,yes,5,may,3.52,1,-1,0,unknown,No
77,55,services,divorced,secondary,no,91,no,no,5,may,5.82,1,-1,0,unknown,No
78,49,services,divorced,secondary,no,0,yes,yes,5,may,4.53,1,-1,0,unknown,No
79,55,services,divorced,secondary,yes,1,yes,no,5,may,3.47,1,-1,0,unknown,No
80,45,admin.,single,secondary,no,206,yes,no,5,may,3.22,1,-1,0,unknown,No
81,47,services,divorced,secondary,no,164,no,no,5,may,3.53,1,-1,0,unknown,No
82,42,technician,single,secondary,no,690,yes,no,5,may,0.33,1,-1,0,unknown,No
83,59,admin.,married,secondary,no,2343,yes,no,5,may,17.37,1,-1,0,unknown,Yes
84,46,self-employed,married,tertiary,no,137,yes,yes,5,may,4.1,1,-1,0,unknown,No
85,51,blue-collar,married,primary,no,173,yes,no,5,may,8.82,2,-1,0,unknown,No
86,56,admin.,married,secondary,no,45,no,no,5,may,24.45,1,-1,0,unknown,Yes
87,41,technician,married,secondary,no,1270,yes,no,5,may,23.15,1,-1,0,unknown,Yes
88,46,management,divorced,secondary,no,16,yes,yes,5,may,3.13,2,-1,0,unknown,No
89,57,retired,married,secondary,no,486,yes,no,5,may,3,2,-1,0,unknown,No
90,42,management,single,secondary,no,50,no,no,5,may,0.8,1,-1,0,unknown,No
91,30,technician,married,secondary,no,152,yes,yes,5,may,3.55,2,-1,0,unknown,No
92,60,admin.,married,secondary,no,290,yes,no,5,may,9.72,1,-1,0,unknown,No
94,57,entrepreneur,divorced,secondary,no,-37,no,no,5,may,2.88,1,-1,0,unknown,No
95,36,management,married,tertiary,no,101,yes,yes,5,may,7.1,1,-1,0,unknown,No
96,55,blue-collar,married,secondary,no,383,no,no,5,may,4.78,1,-1,0,unknown,No
97,60,retired,married,tertiary,no,81,yes,no,5,may,1.68,1,-1,0,unknown,No
98,39,technician,married,secondary,no,0,yes,no,5,may,3.38,1,-1,0,unknown,No
99,46,management,married,tertiary,no,229,yes,no,5,may,3.28,1,-1,0,unknown,No
100,44,blue-collar,married,secondary,no,-674,yes,no,5,may,4.28,1,-1,0,unknown,No
101,53,blue-collar,married,primary,no,90,no,no,5,may,2.07,1,-1,0,unknown,No
102,52,blue-collar,married,primary,no,128,yes,no,5,may,3.82,1,-1,0,unknown,No
103,59,blue-collar,married,primary,no,179,yes,no,5,may,0.92,3,-1,0,unknown,No
104,27,technician,single,tertiary,no,0,yes,no,5,may,6.67,1,-1,0,unknown,No
105,44,blue-collar,married,secondary,no,54,yes,no,5,may,3.28,1,-1,0,unknown,No
106,47,technician,married,tertiary,no,151,yes,no,5,may,3.17,1,-1,0,unknown,No
107,34,admin.,married,secondary,no,61,no,yes,5,may,0.35,1,-1,0,unknown,No
108,59,retired,single,secondary,no,30,yes,no,5,may,8.57,1,-1,0,unknown,No
109,45,management,married,tertiary,no,523,yes,no,5,may,14.15,2,-1,0,unknown,No
110,29,services,divorced,secondary,no,31,yes,no,5,may,3.23,1,-1,0,unknown,No
